ملخص عقد بيع – نظام إدارة المبيعات
شركة الأفق للتطوير العقاري

رقم العقد          : AUF-2025-0023
تاريخ التوقيع      : 2025-12-27
اسم المشتري        : سعود الزهراني
رقم الهوية         : 2688937346
رقم الجوال         : 0570656272
المشروع            : مرسى الخبر – الخبر
رقم الوحدة         : KHM-01233
نوع الوحدة         : شقة
المساحة            : 110 م²
إجمالي الثمن       : 960,000 ر.س
طريقة السداد       : نقدي
الدفعة المقدمة     : 960,000 ر.س
عدد الأقساط        : 0
قيمة القسط         : 0 ر.س
جهة التمويل        : لا ينطبق
تاريخ التسليم      : 2027-09-01

ملاحظات: الثمن غير شامل ضريبة التصرفات العقارية (5%). تُطبق سياسة الإلغاء المعتمدة.
