ملخص عقد بيع – نظام إدارة المبيعات
شركة الأفق للتطوير العقاري

رقم العقد          : AUF-2025-0003
تاريخ التوقيع      : 2025-02-16
اسم المشتري        : عبدالعزيز الدوسري
رقم الهوية         : 1131647525
رقم الجوال         : 0553419283
المشروع            : مرسى الخبر – الخبر
رقم الوحدة         : KHM-03237
نوع الوحدة         : شقة
المساحة            : 115 م²
إجمالي الثمن       : 869,000 ر.س
طريقة السداد       : أقساط
الدفعة المقدمة     : 130,004 ر.س
عدد الأقساط        : 12
قيمة القسط         : 61,583 ر.س
جهة التمويل        : لا ينطبق
تاريخ التسليم      : 2027-09-01

ملاحظات: الثمن غير شامل ضريبة التصرفات العقارية (5%). تُطبق سياسة الإلغاء المعتمدة.
